date,closings,net_orders,gross_orders,cancellations,cancellation_rate,backlog,backlog_value,starts,specs,spec_ratio,asp,incentives,incentive_pct,net_asp,options_revenue,home_sales_revenue,total_revenue,revenue,active_communities,absorption_rate,closings_per_community,gross_margin,gross_profit_per_closing,land_cost_per_lot,construction_cost_per_home,lots_owned,years_supply,mortgage_rate,cycle_time
2023-02-28,113,104,115,11,0.096,555,256242000,124,37,0.3,461800,9930,0.022,451870,7834020,51061310,58895330,58895330,28,4.11,4.04,0.16,71897.0,98906,230900,1400,12.4,6.95,150
2023-03-31,111,113,125,12,0.096,557,259179400,122,37,0.3,465400,10241,0.022,455159,7761210,50522649,58283859,58283859,29,4.31,3.83,0.16,72381.8,100522,232700,1450,13.1,7.02,150
2023-04-30,111,123,136,13,0.096,569,267241200,122,37,0.3,469500,10389,0.022,459111,7831170,50961321,58792491,58792491,29,4.69,3.83,0.16,73031.8,101778,234750,1450,13.1,7.08,150
2023-05-31,114,132,146,14,0.096,587,277765800,125,38,0.3,473200,10518,0.022,462682,8126820,52745748,60872568,60872568,29,5.03,3.93,0.16,73569.2,103078,236600,1450,12.7,6.98,150
2023-06-30,117,139,154,15,0.097,609,289963500,129,39,0.3,476300,10727,0.023,465573,8372673,54471441,62844114,62844114,29,5.31,4.03,0.15,69836.1,105181,238150,1450,12.4,7.15,150
2023-07-31,122,143,158,15,0.095,630,302227200,134,40,0.3,479800,11196,0.023,468604,8780340,57169688,65950028,65950028,30,5.27,4.07,0.15,70344.6,106776,239900,1500,12.3,7.08,150
2023-08-31,126,147,163,16,0.098,651,314612700,139,42,0.3,483200,11298,0.023,471902,9145980,59459652,68605632,68605632,30,5.43,4.20,0.15,70785.3,108396,241600,1500,11.9,7.12,150
2023-09-30,130,149,165,16,0.097,670,326612000,143,43,0.3,487300,11747,0.024,475553,9509655,61821890,71331545,71331545,30,5.50,4.33,0.15,71332.5,110439,243650,1500,11.5,7.20,150
2023-10-31,134,138,154,16,0.104,674,330923800,147,44,0.3,490900,12263,0.025,478637,9918645,64137158,74055803,74055803,30,5.13,4.47,0.14,67459.2,113081,245450,1500,11.2,7.35,150
2023-11-30,135,137,153,16,0.105,676,333910400,149,45,0.3,494200,12856,0.026,481344,10007610,64981440,74989050,74989050,31,4.94,4.35,0.14,67871.6,115212,247100,1550,11.5,7.42,150
2023-12-31,135,128,145,17,0.117,669,332398500,149,45,0.3,497000,13667,0.027,483333,10055475,65249955,75305430,75305430,31,4.68,4.35,0.13,62833.1,119334,248500,1550,11.5,7.55,150
2024-01-31,134,127,144,17,0.118,662,331299200,147,44,0.3,500100,13753,0.028,486347,10052010,65170698,75222708,75222708,31,4.65,4.32,0.13,63252.9,120609,250050,1550,11.6,7.51,150
2024-02-28,132,132,150,18,0.120,662,333216400,145,44,0.3,503200,14088,0.028,489112,9967920,64562784,74530704,74530704,31,4.84,4.26,0.13,63605.6,121856,251600,1550,11.7,7.60,150
2024-03-31,132,140,159,19,0.119,670,339482000,145,44,0.3,506500,14182,0.028,492318,10028370,64985976,75014346,75014346,32,4.97,4.13,0.13,64101.5,123305,253250,1600,12.1,7.58,150
2024-04-30,134,146,166,20,0.120,682,347622200,147,44,0.3,509600,14768,0.029,494832,10293624,66327488,76621112,76621112,32,5.19,4.19,0.13,64378.6,125232,254800,1600,11.9,7.65,150
2024-05-31,136,153,174,21,0.121,699,357821100,150,45,0.3,512000,15104,0.03,496896,10444800,67577856,78022656,78022656,32,5.44,4.25,0.13,64631.2,126720,256000,1600,11.8,7.72,150
2024-06-30,140,158,180,22,0.122,717,369156900,154,46,0.3,514700,15956,0.031,498744,10858590,69823160,80681750,80681750,32,5.63,4.38,0.12,59848.8,129308,257350,1600,11.4,7.80,150
2024-07-31,143,162,185,23,0.124,736,381292800,157,47,0.3,518100,16579,0.032,501521,11108805,71717503,82826308,82826308,33,5.61,4.33,0.12,60182.5,132003,259050,1650,11.5,7.85,150
2024-08-31,147,166,190,24,0.126,755,393890500,162,49,0.3,521600,17194,0.033,504406,11517864,74147682,85665546,85665546,33,5.76,4.45,0.12,60528.7,134832,260800,1650,11.2,7.90,150
2024-09-30,151,169,194,25,0.129,773,407101900,166,50,0.3,526700,17388,0.033,509312,11934759,76905712,88840471,88840471,33,5.88,4.58,0.12,61113.4,136077,263350,1650,10.9,7.87,150
2024-10-31,155,155,180,25,0.139,773,409815000,171,51,0.3,530200,17399,0.033,512801,12364695,79484155,91848850,91848850,33,5.45,4.70,0.11,56208.1,137266,265100,1650,10.6,7.92,150
2024-11-30,155,157,183,26,0.142,775,412577500,171,51,0.3,532500,17869,0.034,514631,12048075,79767805,91815880,91815880,34,5.38,4.56,0.11,56453.4,138831,266250,1700,11.0,7.98,150
2024-12-31,155,150,177,27,0.153,770,411740000,171,51,0.3,534700,18211,0.034,516489,12107805,80055795,92163600,92163600,34,5.21,4.56,0.11,56648.9,140167,267350,1700,11.0,8.05,150
